time[us],volt(fsr)[v],signal,signal frequency[Hz]
55024049,1000,0,1000
55024410,1000,0,1000
55024770,1000,0,1000
55025131,1000,0,1000
55025491,1000,0,1000
55025851,1000,0,1000
55026212,1000,0,1000
55026572,1000,0,1000
55026932,1000,0,1000
55027293,1000,0,1000
55027653,1000,0,1000
55028015,1000,0,1000
55028374,1000,0,1000
55028734,1000,0,1000
55029095,1000,0,1000
55029455,1000,0,1000
55029816,1000,0,1000
55030176,1000,0,1000
55030536,1000,0,1000
55030897,1000,0,1000
55031257,1000,0,1000
55031617,1000,0,1000
55031978,1000,0,1000
55032338,1000,0,1000
55032699,1000,0,1000
